,short_name,age,height_cm,weight_kg,club,wage_eur,pace,shooting,passing,dribbling,defending,gk_diving,gk_handling,gk_kicking,gk_speed,gk_positioning
10383,P. Clarke,35,188,83,Oldham Athletic,1000,36,38,45,40,64,,,,,
10384,A. Chambers,36,178,71,Walsall,2000,60,48,60,61,67,,,,,
10385,E. Bugge Pettersen,37,189,88,StrÃ¸msgodset IF,1000,,,,,,62,64,60,29,64
10386,A. Collin,32,191,78,Notts County,4000,,,,,,66,59,57,31,65
10387,M. Richards,34,180,81,Northampton Town,3000,56,64,53,60,26,,,,,
10388,A. Ãstli,34,189,85,Sarpsborg 08 FF,1000,49,46,50,53,63,,,,,
10389,C. Merville,35,180,78,Valenciennes FC,1000,,,,,,65,65,63,48,63
10390,C. Ben Saada,33,170,65,ESTAC Troyes,7000,66,63,65,66,43,,,,,
10391,C. KÃ¤llqvist,33,193,96,BK HÃ¤cken,1000,,,,,,55,70,72,23,69
10392,A. Poggenborg,33,186,85,SC Fortuna KÃ¶ln,1000,,,,,,61,66,53,38,67
10393,R. KÃ¶nig,34,190,93,FSV Zwickau,1000,31,69,47,47,31,,,,,
10394,L. Bailly,31,189,90,Royal Excel Mouscron,3000,,,,,,63,63,67,50,64
10395,Kim Yong Dae,37,189,81,Ulsan Hyundai FC,1000,,,,,,65,63,68,51,63
10396,J. Glinker,33,187,81,1. FC Magdeburg,1000,,,,,,69,49,47,43,68
10397,D. Potter,32,185,72,Rotherham United,4000,55,54,64,61,60,,,,,
10398,R. Foster,31,176,73,St. Johnstone FC,2000,83,25,57,60,60,,,,,
10399,D. Fox,33,176,77,Plymouth Argyle,3000,61,56,70,64,58,,,,,
10400,D. Lewington,33,183,70,Milton Keynes Dons,4000,49,34,59,58,65,,,,,
10401,J. Restrepo,39,172,75,Rionegro Ãguilas,1000,53,58,65,62,68,,,,,
10402,D. Flinta,33,184,83,Silkeborg IF,3000,53,47,51,54,63,,,,,
10403,J. Quiroga,35,180,79,Belgrano de CÃ³rdoba,3000,65,51,58,53,66,,,,,
10404,P. Santillo,37,183,78,Arsenal de SarandÃ­,2000,,,,,,73,63,64,48,65
10405,E. KeleÅ,30,184,77,Sivasspor,5000,69,62,59,69,45,,,,,
10406,T. Acar,31,187,78,Sivasspor,3000,,,,,,60,62,67,35,51
10407,Freire,27,187,82,Shimizu S-Pulse,2000,47,36,46,43,64,,,,,
10408,D. Khomich,32,191,90,Amkar Perm,5000,,,,,,58,65,68,36,66
10409,I. AustbÃ¸,32,190,85,Viking FK,1000,,,,,,64,63,65,27,63
10410,J. Brison,34,179,73,Chamois Niortais Football Club,2000,62,50,65,60,65,,,,,
10411,V. Demarconnay,34,180,73,Paris FC,2000,,,,,,69,60,60,29,62
10412,M. Halsti,33,185,84,FC Midtjylland,7000,32,50,62,51,62,,,,,
10413,M. Tauber,32,186,79,Lyngby BK,3000,58,45,54,59,59,,,,,
10414,G. Evans,29,183,80,Portsmouth,4000,83,62,58,64,54,,,,,
10415,D. Holm,31,180,79,VÃ¥lerenga Fotball,2000,66,61,67,67,47,,,,,
10416,G. Zakuani,31,185,68,Gillingham,3000,70,24,40,44,64,,,,,
10417,M. Doyle,35,178,71,Coventry City,3000,49,54,56,54,63,,,,,
10418,C. Wingert,35,180,74,Real Salt Lake,2000,62,47,57,56,65,,,,,
10419,J. Wawrzyniak,33,188,85,Lechia GdaÅsk,3000,45,45,61,62,67,,,,,
10420,L. Clarke,32,188,90,Sheffield United,13000,61,64,52,57,31,,,,,
10421,Kim Chi Woo,33,175,68,FC Seoul,2000,72,55,70,59,60,,,,,
10422,M. Ãrnskov,31,185,82,Lyngby BK,4000,54,57,64,60,66,,,,,
10423,C. Gratzei,35,186,82,SK Sturm Graz,3000,,,,,,66,59,57,27,64
10424,H. Patronen,33,183,80,HJK Helsinki,1000,52,44,43,44,64,,,,,
10425,A. El-Abd,32,180,88,Wycombe Wanderers,5000,43,41,45,45,60,,,,,
10426,P. Pentke,32,190,85, SSV Jahn Regensburg,3000,,,,,,67,61,64,37,57
10427,A. Considine,30,183,75,Aberdeen,3000,55,23,55,57,67,,,,,
10428,L. Nilsson,35,180,71,IF Elfsborg,2000,76,64,60,63,31,,,,,
10429,L. Esqueda,36,174,77,QuerÃ©taro,2000,66,52,62,64,64,,,,,
10430,D. BrÃ¼ckner,36,183,78,FC Rot-WeiÃ Erfurt,1000,65,59,66,69,63,,,,,
10431,E. ZverotiÄ,30,179,75,FC Sion,5000,70,55,60,63,64,,,,,
10432,F. Melara,31,188,82,Benevento,8000,67,51,61,64,47,,,,,
10433,G. Montoya,34,185,83,Belgrano de CÃ³rdoba,3000,,,,,,69,55,65,43,68
10434,K. RindarÃ¸y,31,177,74,Molde FK,2000,79,50,56,61,62,,,,,
10435,A. Gerrard,31,188,83,Oldham Athletic,2000,39,31,47,42,63,,,,,
10436,Thiago Xavier,33,180,76,Valenciennes FC,2000,42,51,57,55,63,,,,,
10437,F. Oyerze,29,189,86,Audax Italiano,1000,,,,,,57,70,62,17,75
10438,J. Sarnida,25,180,74,San Luis de Quillota,1000,47,32,46,30,68,,,,,
10439,C. Lanoas,25,188,78,CD Palestino,1000,66,52,48,58,64,,,,,
10440,A. Lutego,29,175,71,Club Deportes Temuco,1000,60,45,63,64,60,,,,,
10441,T. NezuÃ±ir,29,183,79,CD Palestino,2000,66,30,49,61,68,,,,,
10442,F. Geraldoza,33,189,83,Santiago Wanderers,2000,53,49,59,60,60,,,,,
10443,O. Tapiano,25,181,75,Club Deportes Temuco,1000,74,62,57,66,38,,,,,
10444,C. Logan,31,188,89,Mansfield Town,4000,,,,,,63,62,65,46,62
10445,A. Iunco,33,173,68,Cittadella,1000,75,63,65,72,19,,,,,
10446,M. Sadler,32,182,74,Shrewsbury,2000,57,44,58,60,62,,,,,
10447,J. Forte,30,183,77,Notts County,7000,90,61,54,65,28,,,,,
10448,A. McCormack,33,180,64,Luton Town,5000,40,49,62,59,61,,,,,
10449,P. Robinson,35,188,81,AFC Wimbledon,2000,42,38,46,46,64,,,,,
10450,L. Barnett,31,185,72,Northampton Town,3000,62,32,43,47,62,,,,,
10451,M. Troiano,32,189,82,Virtus Entella,1000,62,52,62,55,60,,,,,
10452,A. Esposito,31,191,84,Cesena,1000,39,24,31,41,64,,,,,
10453,S. Dawson,31,183,71,Bury,4000,60,46,60,62,58,,,,,
10454,R. Boukari,30,182,70,La Berrichonne de ChÃ¢teauroux,2000,77,61,61,65,29,,,,,
10455,J. Lillis,30,183,79,Rochdale,2000,,,,,,66,63,69,44,58
10456,J. Tosik,30,180,81,ZagÅÄbie Lubin,3000,62,46,56,58,63,,,,,
10457,Kim Jae Sung,33,180,70,Jeonnam Dragons,2000,61,61,65,64,60,,,,,
10458,K. Osborne,29,188,78,Grimsby Town,4000,68,33,47,51,62,,,,,
10459,J. Wright,31,185,70,Sheffield United,11000,63,31,47,50,65,,,,,
10460,D. AvdiÄ,28,193,92,AIK,4000,48,65,53,60,35,,,,,
10461,A. Salugin,28,188,87,Amkar Perm,7000,66,63,46,57,32,,,,,
10462,C. Bell,30,183,84,Kilmarnock,2000,,,,,,68,64,60,36,64
10463,A. Grant,30,178,71,Peterborough United,4000,71,52,60,65,61,,,,,
10464,K. Finnbogason,30,188,83,AC Horsens,4000,65,65,46,55,23,,,,,
10465,G. Liddle,31,180,79,Carlisle United,4000,51,45,56,56,63,,,,,
10466,P. Hartley,29,184,89,Motherwell,3000,49,32,51,45,64,,,,,
10467,L. Wilson,29,178,71,Port Vale,5000,77,46,54,63,63,,,,,
10468,J. Brown,28,175,68,Shrewsbury,2000,78,56,57,65,59,,,,,
10469,S. Laird,29,183,83,Forest Green Rovers,5000,69,57,59,60,63,,,,,
10470,R. McArdle,30,185,72,Scunthorpe United,4000,54,23,44,41,63,,,,,
10471,J. Grant,29,183,70,Plymouth Argyle,4000,86,58,59,67,32,,,,,
10472,B. Moloney,28,186,85,Northampton Town,3000,71,39,60,63,64,,,,,
10473,R. O'Donovan,31,179,64,Newcastle Jets,2000,80,64,52,64,24,,,,,
10474,E. Palos,31,190,82,Tigres U.A.N.L.,12000,,,,,,65,51,54,44,70
10475,R. Perticone,30,184,76,Cesena,1000,39,42,48,42,64,,,,,
10476,C. Sammon,30,186,75,Partick Thistle FC,3000,71,62,51,59,40,,,,,
10477,K. Lejeune,32,181,81,AC Ajaccio,2000,65,55,69,65,51,,,,,
10478,E. Legati,31,188,86,FC Pro Vercelli 1892,1000,59,40,40,41,65,,,,,
10479,T. RÃ¶ttger,31,176,76,SG Sonnenhof GroÃaspach,1000,77,63,52,67,36,,,,,
10480,M. Burch,33,185,82,Minnesota United FC,2000,64,61,60,62,64,,,,,
10481,G. Piesio,28,186,81,Arka Gdynia,3000,70,57,61,62,46,,,,,
10482,Ha Dae Sung,32,182,75,FC Seoul,3000,48,62,64,63,62,,,,,
10483,M. Palionis,30,194,90, SSV Jahn Regensburg,3000,31,33,47,43,62,,,,,
10484,K. GuÃ©dÃ©,32,184,87,SC Freiburg,8000,54,65,55,54,57,,,,,
10485,B. Ãzbek,30,181,79,MSV Duisburg,2000,66,57,63,64,62,,,,,
10486,K. Das Neves,31,183,75,La Berrichonne de ChÃ¢teauroux,2000,51,41,59,47,66,,,,,
10487,L. MartÃ­nez,30,173,81,Tiburones Rojos de Veracruz,3000,60,49,63,66,62,,,,,
10488,A. Ponroy,31,185,80,Football Bourg En Bresse Peronnas 01,2000,49,36,42,46,65,,,,,
10489,H. Camara,33,188,86,Montreal Impact,2000,65,51,62,64,65,,,,,
10490,P. Frattali,31,185,75,Parma,1000,,,,,,64,62,60,49,64
10491,P. CÃ¡ceres,32,179,75,Puebla FC,3000,68,46,56,54,64,,,,,
10492,T. Pope,31,190,86,Port Vale,5000,59,64,53,54,33,,,,,
10493,A. Raineau,31,178,71,La Berrichonne de ChÃ¢teauroux,2000,59,47,60,62,65,,,,,
10494,R. Taylor,29,188,68,Plymouth Argyle,4000,57,63,57,63,35,,,,,
10495,D. Vrzogic,27,180,68,SV Meppen,1000,75,46,61,65,61,,,,,
10496,E. BirniÃ§an,28,188,89,KasimpaÅa SK,4000,,,,,,58,60,53,52,73
10497,K. CissÃ©,28,186,78,Bari,2000,83,62,51,60,31,,,,,
10498,G. Figliomeni,30,190,75,Foggia,1000,33,37,44,40,65,,,,,
10499,S. Maierhofer,34,202,100,SV Mattersburg,7000,34,69,41,44,50,,,,,
10500,D. Worrall,27,170,67,Port Vale,5000,78,58,60,66,48,,,,,
10501,C. Curran,27,175,74,Ross County FC,3000,78,62,58,63,31,,,,,
10502,R. Reid,28,183,77,Exeter City,5000,81,63,54,60,27,,,,,
10503,A. Annan,30,174,64,HJK Helsinki,1000,77,49,58,60,66,,,,,
10504,Park Won Jae,33,175,69,Jeonbuk Hyundai Motors,3000,78,39,58,51,62,,,,,
10505,M. Theo,36,186,87,Brisbane Roar,1000,,,,,,63,59,65,52,61
10506,N. Topor-Stanley,32,191,90,Newcastle Jets,2000,34,40,53,45,62,,,,,
10507,Y. Igawa,34,182,81,Kawasaki Frontale,3000,49,42,54,46,63,,,,,
10508,E. Bajrami,29,178,77,IF Elfsborg,2000,74,61,62,70,32,,,,,
10509,D. Carney,33,181,79,Sydney FC,3000,66,62,61,65,57,,,,,
10510,N. Burns,29,173,70,Sanfrecce Hiroshima,4000,80,63,61,64,52,,,,,
10511,A. Legzdins,30,191,78,Burnley,10000,,,,,,65,61,65,32,64
10512,O. BagÃ¼Ã­,34,173,65,Ecuador,0,72,29,41,60,69,,,,,
10513,B. Augustyn,29,191,85,Lechia GdaÅsk,3000,53,47,51,51,62,,,,,
10514,A. FernÃ¡ndez,29,187,79,Club Necaxa,12000,,,,,,64,64,61,45,66
10515,A. Ogogo,27,177,78,Shrewsbury,2000,75,58,60,63,63,,,,,
10516,P. Larsen,28,184,80,SK Brann,2000,64,63,62,63,61,,,,,
10517,M. Howard,30,183,76,Bolton Wanderers,7000,,,,,,62,64,63,35,66
10518,K. Falkenberg,29,179,69,VfL OsnabrÃ¼ck,1000,74,45,58,60,61,,,,,
10519,S. Zizzo,30,173,73,New York Red Bulls,2000,74,58,60,64,62,,,,,
10520,S. Tritz,30,178,71,SC PreuÃen MÃ¼nster,1000,69,34,50,53,62,,,,,
10521,J. Ayala,29,184,85,Club AtlÃ©tico Temperley,3000,,,,,,66,65,65,35,63
10522,R. Dickson,30,177,72,Yeovil Town,3000,72,42,58,63,62,,,,,
10523,L. Schwechlen,28,182,78,GÃ¶ztepe SK,5000,56,18,46,49,64,,,,,
10524,Juanmi CallejÃ³n,30,180,72,Ettifaq FC,5000,74,58,62,67,32,,,,,
10525,S. Ryall,27,180,75,Sydney FC,3000,67,53,56,60,63,,,,,
10526,Evandro,29,186,79,Daegu FC,2000,75,62,49,66,24,,,,,
10527,G. ZÃ¡rate,32,184,73,FC Lausanne-Sport,4000,68,61,63,68,22,,,,,
10528,C. Fagan,28,175,66,St. Patrick's Athletic,1000,70,63,53,63,24,,,,,
10529,L. Kelly,27,187,88,Coventry City,5000,66,60,64,61,61,,,,,
10530,G. Nijholt,27,183,79,NAC Breda,3000,56,64,67,65,55,,,,,
10531,Lee Kyu Ro,28,180,68,FC Seoul,3000,70,30,59,65,64,,,,,
10532,D. JimÃ©nez,28,172,62,Lobos BUAP,3000,71,65,57,67,29,,,,,
10533,R. Wolters,27,177,70,Dundee FC,3000,80,62,55,71,37,,,,,
10534,N. RniÄ,32,179,73,Wolfsberger AC,4000,55,39,50,48,62,,,,,
10535,T. Salamon,28,175,74,FK Austria Wien,6000,67,53,63,66,62,,,,,
10536,A. FernÃ¡ndez,31,185,72,San MartÃ­n de San Juan,3000,69,60,65,68,51,,,,,
10537,P. Taylor,29,170,71,Bradford City,4000,79,59,55,72,26,,,,,
10538,C. Gustafsson,30,180,80,IK Sirius,1000,68,59,62,62,51,,,,,
10539,J. MÃ¥rtensson,28,180,75,Ãrebro SK,2000,62,47,62,62,60,,,,,
10540,T. Mickel,28,185,84,Hamburger SV,7000,,,,,,65,62,65,47,62
10541,L. Castiglia,28,185,76,FC Pro Vercelli 1892,1000,61,53,65,64,56,,,,,
10542,S. Salviato,29,185,75,US Cremonese,1000,71,51,54,56,62,,,,,
10543,D. McDermott,27,176,76,Swindon Town,5000,80,58,59,67,32,,,,,
10544,D. Templeton,28,176,63,Hamilton Academical FC,3000,80,62,58,67,46,,,,,
10545,B. Rymaniak,27,189,80,Korona Kielce,2000,69,42,55,53,66,,,,,
10546,W. Moke,29,183,78,Atiker Konyaspor,5000,73,33,55,50,65,,,,,
10547,N. Di Roberto,31,178,76,US Salernitana 1919,2000,70,64,57,67,31,,,,,
10548,M. Solheim,29,178,76,Hammarby IF,2000,68,49,57,59,61,,,,,
10549,K. Alston,29,175,68,Orlando City SC,3000,76,49,55,61,62,,,,,
10550,C. Menz,28,185,78,FC Rot-WeiÃ Erfurt,1000,68,36,61,63,62,,,,,
10551,K. Kikuchi,31,182,72,Omiya Ardija,2000,58,50,55,52,62,,,,,
10552,C. Valoyes,33,174,81,Patriotas BoyacÃ¡ FC,1000,77,64,57,63,26,,,,,
10553,T. Aoki,34,183,75,Sagan Tosu,2000,46,50,60,59,65,,,,,
10554,Yoo Hyun,32,184,82,FC Seoul,2000,,,,,,69,53,74,56,66
10555,Han Sang Wun,31,182,76,Ulsan Hyundai FC,3000,69,60,69,67,37,,,,,
10556,E. WahlstrÃ¶m,30,183,82,BK HÃ¤cken,2000,56,35,48,41,62,,,,,
10557,M. Marrone,30,180,78,Adelaide United,2000,64,31,53,59,64,,,,,
10558,M. Duffy,31,175,72,Sheffield United,12000,71,60,65,65,27,,,,,
10559,M. Schulze,28,185,80,VfL Sportfreunde Lotte,1000,71,45,58,64,62,,,,,
10560,Assis,27,187,92,Boavista FC,2000,,,,,,66,61,66,44,63
10561,P. Tomasik,29,177,72,Jagiellonia BiaÅystok,3000,55,44,65,61,65,,,,,
10562,L. Neagle,30,180,75,Seattle Sounders FC,3000,78,65,58,66,55,,,,,
10563,L. Burliga,29,184,78,Jagiellonia BiaÅystok,3000,72,55,56,58,63,,,,,
10564,L. Brown,26,183,79,Bristol Rovers,3000,74,58,61,63,61,,,,,
10565,M. Dumbuya,29,173,71,Partick Thistle FC,2000,90,35,56,64,60,,,,,
10566,Aridane,30,191,91,Albacete BP,3000,45,64,41,54,29,,,,,
10567,C. Hussey,28,183,65,Swindon Town,11000,70,39,62,64,58,,,,,
10568,A. Corzo,28,173,75,Peru,0,69,35,52,59,62,,,,,
10569,Z. Loyd,29,178,76,Atlanta United,3000,67,48,55,58,64,,,,,
10570,M. Lorentzson,32,179,72,Ãrebro SK,2000,64,46,58,62,64,,,,,
10571,J. Orlov,31,186,81,SK Brann,2000,62,61,55,61,27,,,,,
10572,S. Francis,30,183,75,Montreal Impact,2000,77,41,56,60,62,,,,,
10573,F. DorÃ©,28,193,85,Clermont Foot 63,8000,73,63,54,61,24,,,,,
10574,A. Faltsetas,29,181,80,BK HÃ¤cken,2000,58,52,63,59,62,,,,,
10575,N. ÄurÄiÄ,31,183,73,Randers FC,5000,69,62,60,63,37,,,,,
10576,A. Acosta,29,169,71,Tigres U.A.N.L.,15000,56,58,67,71,62,,,,,
10577,R. Gigolaev,27,176,70,Terek Grozny,9000,72,60,61,68,59,,,,,
10578,D. McMillan,28,180,77,Dundalk,1000,69,63,50,61,25,,,,,
10579,R. Bocalon,28,186,76,US Salernitana 1919,2000,72,62,46,59,34,,,,,
10580,P. Salomon,29,179,70,SCR Altach,5000,67,57,61,63,59,,,,,
10581,H. Savran,32,181,82,VfL OsnabrÃ¼ck,1000,71,64,54,65,29,,,,,
10582,S. KukuruzoviÄ,28,180,76,FC St. Gallen,5000,68,63,64,65,44,,,,,
10583,N. Schindelholz,29,181,77,FC Luzern,3000,43,42,48,49,68,,,,,
10584,G. Saunders,28,176,74,Envigado FC,1000,61,40,61,59,58,,,,,
10585,Alex,26,179,85,Silkeborg IF,4000,69,62,58,68,36,,,,,
10586,O. Gaona Lugo,26,178,81,Club Olimpo,4000,88,61,57,68,32,,,,,
10587,JosÃ© Cruz,28,187,73,Viking FK,2000,54,28,57,47,62,,,,,
10588,M. Scavone,30,187,74,Parma,2000,71,59,65,70,49,,,,,
10589,Ronaldo,27,178,78,Novara,2000,65,53,66,64,57,,,,,
10590,T. RÃ¼hle,26,179,79,SC PreuÃen MÃ¼nster,1000,74,62,57,68,27,,,,,
10591,N. Dumitru,25,184,77,AD AlcorcÃ³n,4000,83,62,55,63,29,,,,,
10592,M. Schulze Niehues,28,192,90,SC PreuÃen MÃ¼nster,1000,,,,,,65,65,62,40,65
10593,S. Kleineheismann,29,187,80,Hallescher FC,1000,39,45,53,49,63,,,,,
10594,E. Scheel,27,186,79,SÃ¸nderjyskE,4000,69,59,64,63,39,,,,,
10595,E. Schiavon,34,178,74,SPAL,4000,69,51,67,64,54,,,,,
10596,E. Grendel,28,175,71,GÃ³rnik Zabrze,2000,68,58,61,67,62,,,,,
10597,C. N'Toko,29,189,84,NAC Breda,3000,53,46,50,55,63,,,,,
10598,C. Wernitznig,27,179,79,Wolfsberger AC,4000,78,63,58,68,39,,,,,
10599,Alvaro Rey,27,183,78,Arka Gdynia,3000,70,53,61,68,47,,,,,
10600,Kim Oh Gyu,28,183,70,Gangwon FC,2000,46,42,61,44,62,,,,,
10601,R. Koch,31,182,78,FSV Zwickau,1000,79,59,62,64,57,,,,,
10602,M. Viler,30,181,78,Slovenia,0,71,47,61,63,60,,,,,
10603,T. Bertels,30,193,83,SC Paderborn 07,1000,69,56,58,58,60,,,,,
10604,M. Fitzgerald,28,185,82,Kawasaki Frontale,3000,62,41,49,52,64,,,,,
10605,D. Albadoro,28,185,80,Ternana,1000,72,59,54,64,22,,,,,
10606,H. Lybohy,33,187,90,Paris FC,2000,56,26,42,36,62,,,,,
10607,I. OuÃ©draogo,28,179,78,Wolfsberger AC,5000,81,66,46,68,20,,,,,
10608,Lee Jong Won,28,176,70,Sangju Sangmu FC,2000,67,54,62,64,59,,,,,
10609,Choi Jong Hoan,29,178,66,Incheon United FC,2000,80,50,62,64,58,,,,,
10610,Jo Young Cheol,28,181,75,Sangju Sangmu FC,3000,66,61,61,65,60,,,,,
10611,S. Benyamina,27,190,79,FC Hansa Rostock,1000,63,58,42,62,25,,,,,
10612,P. Terracciano,27,193,78,Empoli,1000,,,,,,63,61,50,41,65
10613,S. BaliÄ,27,184,76,ZagÅÄbie Lubin,3000,71,38,39,54,68,,,,,
10614,D. Georgievski,29,179,74,Newcastle Jets,2000,73,56,59,62,62,,,,,
10615,J. Blomberg,30,176,65,AIK,3000,73,64,66,67,46,,,,,
10616,N. TkalÄiÄ,27,175,70,IFK NorrkÃ¶ping,2000,86,52,60,65,55,,,,,
10617,Z. DiabatÃ©,28,177,65,Chamois Niortais Football Club,2000,70,41,52,56,63,,,,,
10618,R. Gaddis,27,175,68,Philadelphia Union,2000,81,29,51,62,62,,,,,
10619,Park Soo Chang,28,174,71,Sangju Sangmu FC,2000,68,62,55,63,50,,,,,
10620,T. Wendel,28,191,84,VfL Sportfreunde Lotte,1000,52,47,52,54,61,,,,,
10621,D. VolaÅ¡,30,191,92,Sparta Rotterdam,4000,52,67,41,55,23,,,,,
10622,A. Romero,27,178,72,Montreal Impact,3000,73,63,62,70,43,,,,,
10623,M. Al Bishi,30,182,80,Al Faisaly,7000,49,30,32,34,65,,,,,
10624,J. MÃ¼ller,27,182,76,SpVgg Unterhaching,1000,80,59,59,66,35,,,,,
10625,H. Shaian,28,190,79,Al Nassr,8000,,,,,,65,63,59,48,65
10626,G. BalaÅ¾ic,29,190,83,FC Ural Yekaterinburg,9000,55,30,43,47,66,,,,,
10627,R. Garbuschewski,31,178,75,FSV Zwickau,1000,66,65,66,65,27,,,,,
10628,D. Rose,29,170,66,Portsmouth,4000,62,59,64,63,55,,,,,
10629,R. Mukhametshin,33,183,77,FC Tosno,6000,54,62,66,63,61,,,,,
10630,K. Moleko,27,181,76,Kaizer Chiefs,1000,77,49,60,66,62,,,,,
10631,B. Kluft,27,180,72,Chemnitzer FC,1000,71,57,61,70,33,,,,,
10632,G. Gope-Fenepej,28,182,74,Amiens SC,6000,71,61,57,67,27,,,,,
10633,J. Al Bishi,30,179,74,Al Taawoun,6000,61,29,47,51,62,,,,,
10634,F. Darwish,25,176,63,Al Hilal,9000,85,57,59,68,59,,,,,
10635,L. Chiaretti,29,171,67,Cittadella,1000,73,61,63,68,20,,,,,
10636,A. Al Mutairi,31,174,61,Al Fayha,6000,58,58,61,67,22,,,,,
10637,W. Suwayyid,29,179,71,Al Faisaly,7000,79,50,62,59,56,,,,,
10638,T. Nocchi,26,188,90,Perugia,1000,,,,,,61,63,47,29,61
10639,E. Sarraj,27,178,69,Al Faisaly,10000,69,69,56,66,20,,,,,
10640,M. Mohsen,28,187,82,Egypt,0,67,63,47,61,23,,,,,
10641,M. Ahlschwede,27,186,78,FC WÃ¼rzburger Kickers,1000,73,29,48,51,63,,,,,
10642,Jeong Dong Ho,27,175,68,Ulsan Hyundai FC,2000,74,27,56,63,64,,,,,
10643,G. Omae,27,166,67,Omiya Ardija,2000,78,66,59,67,32,,,,,
10644,S. LÃ³pez,31,187,81,Jaguares de CÃ³rdoba,1000,,,,,,62,65,56,46,64
10645,L. Paz,28,175,70,Deportes Tolima,1000,70,54,61,62,62,,,,,
10646,J. Valencia,35,184,75,Deportivo Pasto,1000,47,47,65,58,63,,,,,
10647,D. BriceÃ±o,31,180,79,Alianza Petrolera,1000,56,26,39,44,66,,,,,
10648,Y. Mena,27,168,65,AtlÃ©tico Huila,1000,92,63,57,60,30,,,,,
10649,L. Ochoa,32,174,70,AtlÃ©tico Bucaramanga,1000,68,54,60,61,64,,,,,
10650,A. Tapia,30,177,75,CortuluÃ¡,1000,71,59,63,65,61,,,,,
10651,S. Luna,29,178,78,Belgrano de CÃ³rdoba,4000,76,64,62,65,58,,,,,
10652,L. VelÃ¡zquez,28,167,62,Tiburones Rojos de Veracruz,3000,78,54,63,69,36,,,,,
10653,P. MÃ­guez,30,183,81,Puebla FC,3000,62,56,62,64,60,,,,,
10654,R. Salinas,31,188,83,Ettifaq FC,5000,51,65,44,60,29,,,,,
10655,M. Galmarini,35,179,78,Club AtlÃ©tico Tigre,3000,64,59,67,67,62,,,,,
10656,N. Safronidi,33,180,70,FC Ufa,7000,73,64,64,63,66,,,,,
10657,C. Villanueva,33,179,71,Club Olimpo,3000,60,29,54,65,67,,,,,
10658,A. Doukha,30,188,80,Ohod Club,5000,,,,,,65,62,62,38,61
10659,M. Abarhoun,28,187,75,Moreirense FC,2000,52,26,35,43,63,,,,,
10660,E. Ãvila,30,184,79,Jaguares de CÃ³rdoba,1000,58,20,30,42,64,,,,,
10661,D. BjÃ¶rnquist,28,178,77,AFC Eskilstuna,2000,86,35,48,60,59,,,,,
10662,P. Tavima,31,183,80,Alianza Petrolera,1000,53,26,43,51,64,,,,,
10663,D. Lovitz,25,178,77,Montreal Impact,2000,79,52,58,63,61,,,,,
10664,E. GÃ¼ral,28,187,79,Antalyaspor,6000,62,69,64,62,30,,,,,
10665,H. Arslan,28,186,76,Sivasspor,4000,63,62,64,69,61,,,,,
10666,S. ClÃ©mence,29,185,88,Tours FC,3000,70,61,58,62,22,,,,,
10667,M. Madri,27,176,65,Racing Club de Lens,3000,75,62,62,69,21,,,,,
10668,R. Gergel,29,180,77,Bruk-Bet Termalica Nieciecza,2000,75,59,59,62,50,,,,,
10669,A. Scifo,29,180,74,Club AtlÃ©tico Temperley,3000,72,33,55,53,62,,,,,
10670,G. Shitolo,27,186,69,Orlando Pirates,1000,62,50,47,56,69,,,,,
10671,A. Al Shammari,28,165,60,Al Raed,6000,88,34,57,53,59,,,,,
10672,S. Mpontshane,31,188,83,Orlando Pirates,1000,,,,,,65,63,62,46,62
10673,R. Vera,34,183,86,Patronato,3000,48,47,48,45,63,,,,,
10674,F. Crivelli,35,185,81,Club AtlÃ©tico Tigre,2000,,,,,,64,62,67,49,68
10675,M. Giordano,37,189,87,Club AtlÃ©tico HuracÃ¡n,2000,,,,,,62,64,65,37,76
10676,E. Ãlvarez,28,184,75,Once Caldas,1000,52,67,43,58,19,,,,,
10677,J. Amoroso,29,185,70,Newell's Old Boys,5000,72,60,58,63,31,,,,,
10678,M. Castro,29,180,73,UniÃ³n de Santa Fe,3000,,,,,,65,60,59,46,65
10679,L. Gamba,30,170,70,UniÃ³n de Santa Fe,5000,88,63,58,70,24,,,,,
10680,J. Varela,29,163,62,Rionegro Ãguilas,1000,91,56,58,70,33,,,,,
10681,I. Boggino,31,187,82,Club AtlÃ©tico Temperley,3000,37,24,37,38,66,,,,,
10682,W. Mosquera,32,191,85,Jaguares de CÃ³rdoba,1000,,,,,,65,61,65,47,63
10683,A. Aguilar,28,186,89,Paraguay,0,,,,,,75,59,54,46,53
10684,Edison Tarabai,31,169,73,Al Batin,5000,75,60,49,69,21,,,,,
10685,J. KjÃ¦r,31,172,71,Lyngby BK,4000,87,62,51,71,20,,,,,
10686,S. DeliktaÅ,30,180,61,Kardemir KarabÃ¼kspor,5000,76,66,48,64,20,,,,,
10687,G. GÃ¼zel,30,170,74,Sivasspor,4000,74,61,64,67,59,,,,,
10688,M. BayÄ±r,28,165,64,OsmanlÄ±spor,5000,75,37,55,67,61,,,,,
10689,Josan,27,174,68,Albacete BP,3000,82,58,56,70,32,,,,,
10690,Peter Abradanel,29,189,86,Ponte Preta,4000,,,,,,57,70,62,17,75
10691,LÃºcio Corteijo,25,180,74,VitÃ³ria,4000,47,32,46,30,68,,,,,
10692,Adnan Vidual,25,188,78,Sport Club do Recife,4000,66,52,48,58,64,,,,,
